date|event
4 Aug 1901|Gold strike in South African Rand
9 Aug 1901|Colombian troops invade Venezuela
12 Aug 1901|British Government defeated on bill to limit working hours
12 Aug 1901|Cadilac car company formed in Detroit Michigan
6 Sep 1901|US President McKinley shot and killed by anarchist
7 Sep 1901|Boxer rebellion ends in Peking treaty
9 Sep 1901|French painter Toulouse-Lautrec dies
14 Sep 1901|Vice-President Roosevelt becones President of the US
25 Sep 1901|Britain annexes the Ashanti kingdom in Africa
2 Oct 1901|Vickers launches Britain's first submarine
16 Oct 1901|Black teacher dines with President Roosevelt
23 Oct 1901|General Buller sacked in South Africa for indiscretion
28 Oct 1901|34 die in race riots over dinner at US Whitehouse
29 Oct 1901|US President McKinley's killer Czolgosz executed
10 Nov 1901|North West Frontier province incorporated into India
25 Nov 1901|Japanese prince seeks Korean concessions from Russia
2 Dec 1901|First safety-razor blades launched by Gillette in the US
10 Dec 1901|The first Nobel Prize for Peace was awarded to Jean Henri Dunant (1928-1910), Founder of the International Committee of the Red Cross and Frederic Passy (1822-1912), Founder and President first French peace society
12 Dec 1901|Guglielmo Marconi makes the first transatlantic radio transmission from Cronwall in England to Newfoundland in the USA
1901|The 'Taff Vale Judgement' where UK unions were liable for strike losses
1901|A Japanese chemist invents 'instant' coffee
1901|Americans Charles Hatt and Charles Parr built the first gasoline powered tractor
1901|Elie Cartan develops the exterior derivative
1901|Max Planck calculates the charge on the electron
1901|Max Planck determins Avogadro's number
1901|Max Planck determins Boltzmann's constant
1901|Max Planck determins Planck's constant
1901|Mendel's paper on inheritance in peas was republished in the RHS journal
1901|The phonograph disc (the first 'record') made of hard resinous shellac goes on sale
1901|The first electric typewriter is produced, the 'Blickensderfer'
1901|After 63 years, England stops sale of Queen Victoria postage stamps series and begins King Edward VII series
1901|The Arabs attack Gedara in Palestine
1901|Boer General John Smuts & De la Rey conqueror Mud river Transvaal
1901|Cook Islands are annexed and proclaimed as part of New Zealand
1901|Dame Nellie Melba, reveals secret of her now famous toast
1901|Dutch Penitentiary children's law is enacted
1901|Dutch troops under General Van Heutsz conquer Batu Ilië on Sumatra
1901|Emily Hobhouse views Lord Kitchener's concentration camp at Bloemfontein
1901|Fire destroyed 1,700 buildings in Jacksonville, Florida
1901|the Free thinking-Democratic Union forms in the Netherlands
1901|George Cohan's musical 'Governor's Son', premieres in New York City
1901|Loop-the-loop centrifugal RailRoad (the roller coaster) is patented by Ed Prescot
1901|US Memorial Day (traditionaly 30 May now the last Monday of May) is first observed
1901|National Association of Professional Baseball Leagues formed
1901|Oil is discovered at Spindletop claim near Beaumont, Texas
1901|Pope Leo XIII publishes encyclical 'Graves De Communi Re'
1901|Queen Wilhelmina marries Prince Heinrich von Mecklenburg-Schwerin.
1901|Santos-Dumont proves that an airship is maneuverable by circling Eiffel Tower
1901|The first table tennis tournament is held, at the London Royal Aquarium
1901|Anna Taylor becomes the first woman to go over Niagara Falls in a barrel
1901|US captures leader of Philippine rebels, Emilio Aguinaldo
1901|US President William McKinley inaugurated for 2nd term as US President
1901|"US Vice President Theodore Roosevelt advises, ""Speak softly and carry a big stick"""
1901|William Gorgas eradicates yellow fever from Havana, Cuba, the first time in 150 years
1901|Rockefeller Institute for Medical Research founded, the first US institute devoted entirely to biomedical research
1901|An academic degree is required for admission to Harvard Medical School
1901|Edward VII becomed King of Britain at the age of 59, having been heir apparent for longer than anyone else in British history
1901|The first Nobel prize for Medicine is awarded to Emil Adolf von Behring.
1902|Elizabeth Garrett Anderson retired to Aldeburgh
1 Jan 1902|El Greco exhibition held in Madrid
18 Jan 1902|US Commision chooses Panama as site of the canal
1 Feb 1902|China's empress Tzu-hsi abolishes the Chinese custom of Women's foot binding
6 Feb 1902|Italian government calls up railwaymen to prevent strike
15 Feb 1902|Berlin's first underground railway opened
25 Feb 1902|Boers rout Britsh army at Klerksdorp
Feb 1902|A Swedish geologist, Otto Nordenskjöld, and five crew members are left on Snow Hill Island where they spend two winters and during this expedition the first major sledge journey in Antarctica took place over some 400 miles . Their ship 'Antarctic' was crushed in the ice pack after leaving the crew on the island thereby creating two separate groups of explorers. The second crew was able to survive the winter and find their way back to Snow Hill Island where the whole party was rescued in 1903 by an Argentinean relief ship
Feb 1902|German Erich von Drygalski and the crew of the Gauss discover Wilhelm II Land. Stuck in the ice for a year, the party does extensive scientific research filling 20 volumes of reports
28 Mar 1902|British march agianst 'Mad Mullah' in E Africa
7 Apr 1902|Texeco oil company formed in the US
8 Apr 1902|Russia agrees to withdaraw troops from Manchuria
13 Apr 1902|New car speed record of 74 mph set in France
1 May 1902|Tornado kills 416 in Dacca India
12 May 1902|Miners strike in US
28 May 1902|British march agianst 'Mad Mullah' in E Africa
31 May 1902|Peace of Vereeniging end the Boer War
26 Jun 1902|The coronation of British King Edward VII
Nov 1902|Robert F. Scott, Edward Wilson and Ernest Shackleton strike out for the South Pole. Leaving McMurdo Sound heading south across the Ross Ice Shelf, two months later they find themselves at 82 degrees south suffering from snow blindness and scurvy. Forced to return home, they nonetheless cover 3100 miles
1902|James Jeans finds the length scale required for gravitational pertrubatations to grow in a static nearly homogeneous medium
1902|Kelvin and Thomson propose the 'plum pudding' model of the atom
1902|Philipp Lenard observes that maximum photoelectron energies are independent of illuminating intensity but depend on frequency - intensity law in the photoelectric effect
1902|Ernest Rutherford and Frederick Soddy develop the theory of transmutation by radioactive decay and first use the term 'atomic energy'
1902|Theodor Svedberg suggests that fluctuations in molecular bombardment cause 'Brownian Motion'
1902|Germany's Zeiss invents the four-element Tessar camera lens
1902|Etched zinc engravings start to replace hand-cut wood blocks
1902|US Navy installs radio telephones aboard ships
1902|A Trans-Pacific telephone cable connects Canada and Australia
1902|The American Automobile Association (AAA) founded in Chicago
1902|Battle at Yzer Spruit Boer General De la Rey beats British
1902|Boer War Ends when the Treaty of Vereeniging is signed, Britain annexes Transvaal
1902|Boers beat British troop in Tweebosch Transvaal
1902|Britain and the Boers resume peace talks in Pretoria
1902|Britain establishes the 'Order of Merit'
1902|The British 'SS Camorta' sinks off Rangoon when 739 people die
1902|Canada's Maritime Provinces switch from Eastern to Atlantic time
1902|The Carnegie Institute is founded in Washington DC
1902|Composer Gustav Mahler marries Alma Schindler in Vienna
1902|Denmark sells Virgin Islands to the USA
1902|Dr Harvey Cushing, the first US brain surgeon, performs the first brain operation
1902|An earthquake destroys the Turkish city of Tochangri
1902|Edward VII of England crowned after death of his mother Victoria
1902|Empire Day is first celebrated in Britain
1902|Enrico Caruso becomes the first well-known performer to make a record
1902|Impresario David Belasco openes his first Broadway theater
1902|Irving W Colburn patents sheet glass drawing machine
1902|Lyman Gilmore is the first person to fly a powered craft
1902|Marie and Pierre Curie isolate radioactive element Radium
1902|Mount Pelée erupts and wipes out St Pierre in Martinique killing 30,000 people
1902|The US patent for window envelope granted to H.F. Callahan
1902|Pope Leo XIII encyclical 'On the Church in the US'
1902|Portugal is made bankrupt by a revolt in Angola
1902|The Soufriere volcano on St Vincent kills 2-5,000 people
1902|The split skirt is first worn by Mrs Adolph Landeburg, a horse rider.
1902|Textile workers strike in Enschede in the Netherlands
1902|"The first science fiction film, ""A Trip To The Moon"", is released"
1902|A Trans-Pacific cable link is installed between Hawaii and the US
1902|The underground railway, the U-Bahn, is opened.
1902|The US Census Bureau forms
1902|The US military occupation of Cuba (1899
1902|The Zulu assault at Holkrantz in South Africa
1902|The first science fiction film,'A Trip to the Moon' by Georges Méliès, pioneer of film fantasy, is released
1902|Leon Gaumont's Chronophone in France and Cecil Hepworth's Vivaphone system in England produced hundreds of synchronized (sound and picture) shorts between
1902|Otto von Bronk applies for German patent on colour television
1902|Pathé acquires the Lumière patents and commissions the design of an improved studio camera
1902|Parke, Davis & Co of Detroit creates the first commercially operated research lab in the US
1902|John McCormick Institute for Infectious Diseases established in Chicago
1902|The Nobel Prise for Physics is awarded to Hendrik Antoon Lorentz (1853-1928) and Pieter Zeeman (1865-1943) for researches into the influence of magnetism upon radiation phenomena
1902|The Nobel Prize for Chemistry is awarded to Hermann Emil Fischer
1902|The Nobel prize for Medicine is awarded to Ronald Ross.
1 Jan 1903|King Edward VII, of Britain, is proclaimed Emperor of India
22 Jan 1903|US signs treaty with colombia to build canal at Panama
24 Jan 1903|Joint US-UK commision to decide desputed Alaska-Canada frontier
3 Feb 1903|British capture Kano from Nigerian rebels
3 Mar 1903|Scott in the Antartic reacher furthest point south
14 Mar 1903|US senate ratifies construction of canal at Panama
18 Mar 1903|Anti-clerical French government dissolves all religious orders
1 Apr 1903|The first automobile trip across US from San Fransisco to New York ended
2 Apr 1903|Bloody clashes between students and police in Spain
6 Apr 1903|Dreyfus documents are proved army forgeries in France
14 Apr 1903|Bulgarians massacre 165 Muslims in Macedonia
16 Apr 1903|Scores of Jews massacred in pogrom in Bessarabia
1 May 1903|King Edward VII, of Britain, visits France
21 May 1903|Chamberlain launches Tariff League
4 Jun 1903|Russian decree restrics Jewish ownership of property
10 Jun 1903|Army officers kill King and Queen of Serbia
16 Jun 1903|Socialists make big gains in German general election
3 Jul 1903|UK and Japan demand that Russians leave Manchuria
9 Aug 1903|Pope Pius X crowned before a crowd of 70,000 in Rome
12 Aug 1903|Colombian Senate rejects US treaty for canal at Panama
31 Aug 1903|Reports of atrocities by all sides in the Balkans
1 Sep 1903|Macedonian rebels blow up Hungarian steamer killing 29
8 Sep 1903|Turks massacre 50,000 Bulgarians
17 Sep 1903|Joseph Chamberlain resigns over tariff reform
17 Sep 1903|During an uprising of Macedonians against Turkey, the Turks massacre 10,000 in Macedonia
2 Nov 1903|US President Roosevelt sends three US gunships to Panama
3 Nov 1903|Colombian rebels proclaim Panama's independance
6 Nov 1903|US government regognises Panama as an independant state
12 Nov 1903|10000 Chinese troops move into Manchuria
18 Nov 1903|The US and Panama sign the Hay-Bunau-Varilla canal treaty giving the US exclusive canal rights in Panama
10 Dec 1903|Nobel Prize for Physics is awarded to Antoine Henri Becquerel (1852-1908), Pierre Curie (1859-1906) and Marie Curie (1867-1934) for the 1898 discovery and research into natural radioactivity
17 Dec 1903|Wright brothers make first heavier-than-air flight near Kitty Hawk, North Carolina when Orville Wright takes off at 10:35 AM
1903|In the UK, the Trades Union Congress opposes the government's tariff policy
1903|Americans Charles Hatt and Charles Parr established the first company dedicated exclusively to manufacturing gasoline powered tractors
1903|C. Runge presents a fast Fourier transform algorithm
1903|Curie and Laborde propose that the radioactive energy released by radium is large
1903|Ernest Rutherford proposes that alpha particles have a positive charge
1903|George Darwin and John Joly claim that radioactivity is partially responsible for the Earth's heat
1903|H. E. Huntington purchased a San Marino Ranch where he began to create his estate complete with museum collections and botanical gardens
1903|Johannes Stark proses that the power of the sun may be due to genesis of chemical elements
1903|Konstantin Tsiolkovsky begins a series of papers discussing the use of rocketry, space suits and colonization of the solar system
1903|Philipp Lenard develops a model of the atom as two separated opposite charges
1903|Wilson, when collecting for Veitch, successfully reintroduced the blue poppy (Meconopsis) to Europe. His greatest triumph was the introduction of the regal lily (Lilium regale)
1903|The Cuban state of Guantanamo is leased to the USA
1903|A definitive treaty for the construction of the Baghdad railway drawn up
1903|The Dutch Press museum opens in Amsterdam
1903|Enrico Caruso's US debut at the Metropolitan Opera House, New York, in 'Rigoletto'
1903|The Federation of American Motorcyclists is organized in New York City
1903|A fire at Chicago's Iriquois Theater kills 602 people
1903|Ford Motors incorporates
1903|Frederick Lugard occupies Kano in West Africa
1903|Frederick Lugard occupies Sokoto in West Africa
1903|Harry Houdini escapes police station Halvemaansteeg in Amsterdam
1903|Harry Houdini performs at the Rembrandt theater in Amsterdam
1903|Italo Marchiony is granted the patent for the ice cream cone
1903|The first 'Tour de France' bicycle race is announced
1903|Niagera Falls runs out of water because of a drought
1903|Queen Wilhelmina opens Berlages Merchants bureau in Amsterdam
1903|Rhodes Opera House burns down in in Boyertown Pensylvannia, killing 170 people
1903|In New Zealand, Richard Pearse flies a monoplane several hundred yards
1903|The San Francisco-Hawaii telegraph cable opens for public use
1903|The US Senate begins investigating the Teapot Dome scandals of the Harding administration
1903|The first Teddy Bear is introduced in America. It was made by Morris and Rose Michtom
1903|George Wymann begins the first US transcontinental motorcycle trip beginning at San Fransisco
1903|The 'Wizard of Oz' premieres in New York City
1903|US President T Roosevelt shuts down a post office in Indianola, for refusing to accept its appointed postmistress because she was black
1903|The Williamsburg suspension bridge opens between Brooklyn and Manhattan
1903|The Wright brothers obtain an airplane patent
1903|American filmmaker Edwin S. Porter's 'The Great Train Robbery', is important for its use of realistic narrative and continuity of action
1903|Henry Phipps Institute for Tuberculosis established in Philadelphia
1903|Willem Einthoven describes the first electrocardiograph
1903|The Nobel Prize for Chemistry is awarded to Svante August Arrhenius
1903|The Nobel prize for Medicine is awarded to Niels Ryberg Finsen.
Feb 1904|Jean-Baptiste Charcot, in the 'Français', begins his survey of the western side of the Antarctic Peninsula. Based from an inlet on Booth Island, over two summers they discover the Loubet Coast, Doumer Island and Port Lockroy. They chart the Biscoe Islands and generally extend Gerlache's survey of the western side of the Antarctic Peninsula
Mar 1904|William S. Bruce and members of the Scottish National Antarctic Expedition aboard the 'Scotia' discover Coats Land. This is the first sighting of land to the south of the Weddell Sea
18 Oct 1904|The 'Colony of Dahomey and its dependences' became part of French West Africa (now Benin)
1904|Albert Einstein develops the energy-frequency relation of light quanta
1904|Physicist Sir John Ambrose Flemming (1849-1945) invents the diode valve and rectifier which improves radio communication
1904|Chestnut blight (Cryphonectria parasitica) from Japan was detected in the New York City area. The disease quickly advanced to destroy nearly the entire native population of American Chestnut
1904|Edward Maunder plots the first sunspot 'butterfly diagram'
1904|Ernest Rutherford estimates the age of Earth by radioactvity dating
1904|Hantaro Nagaoka develops the planetary model of the atom
1904|Hendrik Lorentz documents the completed Lorentz transformations
1904|Henri Poincare first conjectured light speed as physical limit
1904|Iced tea was invented at the St. Louis World's Fair by an enterprising British salesman who realized that fair goers were not attracted to hot tea in summer weather
1904|The telephone answering machine is first used.
1904|Offset lithography becomes a commercial reality
1904|A photograph is transmitted by wire in Germany
1904|Hine photographs America's underclass
1904|The film 'The Great Train Robbery' creates demand for fiction movies
1904|The comic book is sold in the US
1904|The double-sided phonograph disc comes into use
1904|179 people die in a coal mine explosion at Cheswickin in Pensilvania
1904|3rd Olympic Games opens in St Louis in the USA
1904|The American occupation of Cuba ended
1904|Andrew Carnegie establishes the Carnegie Hero Fund
1904|The Automobile tire chain is patented in the US
1904|Baltimore catches fire and 1500 buildings destroyed over 80 blocks
1904|The Bank of Italy (now the Bank of America) first opens
1904|The British newspaper, The Daily Mirror, began publication
1904|The Bronze statue of Christ on the Argentine-Chilian border is dedicated
1904|The control of the Panama Canal Zone is acquired by US for $10 million
1904|The 'Entente Cordiale' was signed by France and England
1904|Giacomo Puccini's opera 'Madama Butterfly', premieres in Milan
1904|Herero people of South West Africa, now Namibia, begin an uprising
1904|J M Synge's 'Riders to the Sea' opens at Irish National Theatre Society in Dublin
1904|Japan and Russia declares war after Japan's surprise attack on Russian fleet at Port Arthur disabled 7 Russian warships
1904|The 'Louisiana Purchase Exposition' opens in St Louis
1904|"Marconi Co establishes ""CQD"" as the first international radio distress signal"
1904|Maurice Ravel's 'Shéhérazade' premieres in Paris
1904|Netherlands Indies colony begins opium production
1904|Pope Pius X banned low cut dresses in the presence of churchmen
1904|An uprising under Samuel Maherero takes place against the German garison in South-west Africa
1904|Fingerprints are first used in the US by the St Louis police
1904|The first main line electric train in UK ran between Liverpool and Southport
1904|Theodore Roosevelt, appoints a seven person committee to study the Panama Canal
1904|US blues singer Gertrude Pridgett marries comic William Rainey
1904|US President Theodore Roosevelt defeats Alton B Parker
1904|Wilbur Wright makes his first airplane flight which was the first flight to last more than 5 minutes
1904|Ernest Rutherford discovers that alpha rays are heavy positively charged particles
1904|Carl Larsen builds the first whaling station at Grytviken on South Georgia. Before ten years elapse, over 20 stations and factory ships are operating in this region
1904|The Nobel Prize for Physics is awarded to Lord Rayleigh (1842-1919) for his investigations of the densities of important gases and for his discovery of Argon
1904|The Nobel Prize for Chemistry is awarded to Sir William Ramsay
1904|The Nobel prize for Medicine is awarded to Ivan Petrovich Pavlov.
1905|Albert Einstein (1879-1955) completes and publishes his theory of special relativity
1905|Albert Einstein develops the light-quantum theory for photoelectric law
1905|Albert Einstein explains Brownian motion by kinetic theory
1905|Albert Einstein (1879-1955) postulated the equivalence of mass and energy in his law of mass-energy conservation (E=mc2)
1905|Bragg and Kleeman propose that alpha-particles have discrete energies
1905|Hermann Nernst develops the third law of thermodynamics
1905|Paul Langevin develops the atomic theory of paramagnetism
1905|Percival Lowell postulates a ninth planet beyond the orbit of Neptune, later discovered to be Pluto
1905|Photography, printing and a postal service
19 Feb 1906|W K Kellogg and Charles D Bolin incorporate Battle Creek Toasted Corn Flake Company. The company sold breakfast cereals originally developed as a health food for psychiatric patients
1906|Albert Einstein develops a quantum explanation of specific heat laws for solids
1906|Arthur Eddington begins his statistical study of stellar motions
1906|Charles Barkla discovers that each element has a characteristic X-ray and that the degree of penetration of these X-rays is related to the atomic weight of the element
1906|Ernest Rutherford discovers that alpha particles scatter in air
1906|Frederick Hopkins suggests the existence of vitamins and suggests that a lack of vitamins causes scurvy and rickets
1906|Joseph Thomson calculates the number of electrons in an atom
1906|Joseph Thomson demonstrates 'Thomson scattering' of X-ray photons
1906|Karl Schwarzschild explains solar limb darkening
1906|Lee de Forest invents the triode valve
1906|Max Wolf discovers the Trojan asteroid Achilles
1906|Mikhail Tsvett discovers the technique of chromatography for organic compound separation
1906|Pierre du Pont purchased the Pierce house and arboretum which was the property he would develop as Longwood Gardens
1906|The first US county agent was employed to work with farmers to combat the ravages of the boll weevil on the cotton crop. This model was quickly adopted in other US Southern states
1906|Walther Nernst presents a formulation of the third law of thermodynamics
1906|In Britain, a new process colours printed books cheaply
1906|A program of voice and music is broadcast in the US
1906|Dunwoody and Pickard build a crystal-and-cat's-whisker radio
1906|An animated cartoon film is produced
1906|An experimental sound-on-film motion picture is made
1906|Strowger invents automatic dial telephone switching
1906|A 'Census of the British Empire' shows England rules 1/5 of the world
1906|A 'temporary' permit is issued to erect overhead wires on Market in St San Fransisco
1906|The 10th anniversary of the Olympics, is celebrated in Athens, Greece
1906|4th (desputed) Olympic games opens in Athens
1906|Alberta adopts Mountain Standard Time
1906|Attack on King Alfonso XIII and Victoria von Battenberg in Madrid
1906|Bezalel Art School opens in Jerusalem
1906|Black evangelist William J Seymour arrives in Los Angeles, California, USA
1906|Black soldiers raid Brownsville, Texas, USA
1906|Britain's first modern and largest battleship the 'HMS Dreadnought' is launched
1906|British Labour Party forms
1906|British Minister of Foreign Affairs Edward Grey's wife, Dorothy, is fatally injured
1906|British Rolls, Royce and Johnson form Rolls Royce Ltd
1906|British-controlled Egypt takes Sinai peninsula from Turkey
1906|A coal dust explosion kills 1,060 people at Courrieres in France
1906|Conference of Algeciras concerning Morocco
1906|Dr Lee DeForest demonstrates his radio tube
1906|Dutch law makes a driver's license mandatory
1906|Ecuador adopts its constitution
1906|The Finnish Senate accepts universal suffrage, except for the poor
1906|France and Britain agree to joint control of New Hebrides
1906|Heavy storm bursts a dike flooding Vlissingen in the Netherlands
1906|International Radio Telecommunications Com adopts 'SOS' as new call for help
1906|Karl Nessler demonstrates the first 'permanent wave' for hair, in London
1906|London is selected to host the 1908 Olympics
1906|The London Underground opens the Bakeroo line (Baker Street to Waterloo Line)
1906|Louis H Perlman patents a demountable tire carrying rim for cars
1906|Natal proclaims state of siege during a Zulu uprising
1906|Olympic games held in Athens are not accepted by the IOC
1906|Oscar Straus, the first Jewish US cabinet member, is appointed Secretary of Commerce
1906|Papua placed under Australian administration
1906|Pope encyclical against separation of church ∧ state
1906|Portugal's King Carlos I names Joao Franco as premier
1906|Reginald A Fessenden became the first to broadcast music over radio (Mass, USA),
1906|US President Roosevelt becomes the first US President to visit a foreign country (Panama)
1906|Russia's Duma (Parliament) meets for the first time
1906|A San Francisco earthquake and fire kills nearly 4,000 people and destroys 75% of the city
1906|St Pius X encyclical 'On the Mariavites or Mystic Priests of Poland'
1906|An earthquake in Colombia is recorded as 8.6 on the Richter scale
1906|The first airplane flight in Europe
1906|The first animated cartoon is copyrighted
1906|The first US federal penitentiary building is completed at Leavenworth
1906|The first freight delivery tunnel system begins, underneath Chicago
1906|The first time Dow Jones closes above 100 (100.26)
